benchmark,optimizer,seed,result,time
branin,mlrMBO,1,0.397892,269.0
branin,mlrMBO,2,0.397890,323.0
branin,mlrMBO,3,0.397891,335.0
branin,mlrMBO,4,0.397890,294.0
branin,mlrMBO,5,0.397888,290.0
branin,mlrMBO,6,0.397892,253.0
branin,mlrMBO,7,0.397894,239.0
branin,mlrMBO,8,0.397918,233.0
branin,mlrMBO,9,0.397899,255.0
branin,mlrMBO,10,0.397903,247.0
branin,mlrMBO-rf,1,0.465948,742.0
branin,mlrMBO-rf,2,0.468848,780.0
branin,mlrMBO-rf,3,0.423203,750.0
branin,mlrMBO-rf,4,0.483848,748.0
branin,mlrMBO-rf,5,0.642987,667.0
branin,mlrMBO-rf,6,0.400525,673.0
branin,mlrMBO-rf,7,0.427098,681.0
branin,mlrMBO-rf,8,0.606500,696.0
branin,mlrMBO-rf,9,0.403261,657.0
branin,mlrMBO-rf,10,0.405363,656.0
branin,smac,1,0.718703,153.0
branin,smac,2,0.398060,148.0
branin,smac,3,0.566212,154.0
branin,smac,4,0.431508,150.0
branin,smac,5,0.410164,149.0
branin,smac,6,0.724493,152.0
branin,smac,7,0.488712,154.0
branin,smac,8,0.433354,153.0
branin,smac,9,0.414783,153.0
branin,smac,10,0.425294,150.0
branin,tpe,1,0.457941,95.0
branin,tpe,2,0.474923,82.0
branin,tpe,3,0.499096,91.0
branin,tpe,4,0.402139,96.0
branin,tpe,5,0.446809,97.0
branin,tpe,6,0.410389,81.0
branin,tpe,7,0.525269,89.0
branin,tpe,8,0.494056,88.0
branin,tpe,9,0.412638,87.0
branin,tpe,10,0.606328,72.0
branin,spearmint,1,0.397931,11613.0
branin,spearmint,2,0.397888,11000
branin,spearmint,3,0.397887,10945.0
branin,spearmint,4,0.397887,10519.0
branin,spearmint,5,0.397897,10936.0
branin,spearmint,6,0.397888,10148.0
branin,spearmint,7,0.397888,11191.0
branin,spearmint,8,0.397904,11162.0
branin,spearmint,9,0.397887,11260.0
branin,spearmint,10,0.397889,11000
har6,mlrMBO,1,-3.299782,641.0
har6,mlrMBO,2,-3.306641,720.0
har6,mlrMBO,3,-3.318810,587.0
har6,mlrMBO,4,-3.272753,767.0
har6,mlrMBO,5,-3.307285,766.0
har6,mlrMBO,6,-3.294671,604.0
har6,mlrMBO,7,-3.196882,657.0
har6,mlrMBO,8,-3.195641,752.0
har6,mlrMBO,9,-3.309589,747.0
har6,mlrMBO,10,-3.196889,751.0
har6,mlrMBO-rf,1,-3.060251,811.0
har6,mlrMBO-rf,2,-3.136251,814.0
har6,mlrMBO-rf,3,-3.277890,854.0
har6,mlrMBO-rf,4,-3.277709,860.0
har6,mlrMBO-rf,5,-3.120505,846.0
har6,mlrMBO-rf,6,-3.168215,778.0
har6,mlrMBO-rf,7,-3.168700,831.0
har6,mlrMBO-rf,8,-3.285191,860.0
har6,mlrMBO-rf,9,-3.200343,854.0
har6,mlrMBO-rf,10,-3.150264,843.0
har6,smac,1,-2.797707,204.0
har6,smac,2,-3.173374,208.0
har6,smac,3,-2.980624,202.0
har6,smac,4,-3.082922,204.0
har6,smac,5,-3.076164,206.0
har6,smac,6,-2.127505,199.0
har6,smac,7,-3.132756,205.0
har6,smac,8,-3.005424,204.0
har6,smac,9,-2.605472,202.0
har6,smac,10,-3.126378,200.0
har6,tpe,1,-3.005541,127.0
har6,tpe,2,-3.027084,112.0
har6,tpe,3,-2.925783,113.0
har6,tpe,4,-2.935366,139.0
har6,tpe,5,-3.140754,131.0
har6,tpe,6,-3.226230,140.0
har6,tpe,7,-2.998644,142.0
har6,tpe,8,-2.426767,136.0
har6,tpe,9,-2.826829,147.0
har6,tpe,10,-2.804159,136.0
har6,spearmint,1,-3.322139,12623.0
har6,spearmint,2,-1.709400,11898.0
har6,spearmint,3,-3.322332,11000
har6,spearmint,4,-3.322260,8282.0
har6,spearmint,5,-3.322368,12628.0
har6,spearmint,6,-3.322336,12662.0
har6,spearmint,7,-3.322360,12569.0
har6,spearmint,8,-3.137616,14593.0
har6,spearmint,9,-3.203161,15016.0
har6,spearmint,10,-3.321854,11000
logreg_on_grid,mlrMBO,1,0.068500,150.0
logreg_on_grid,mlrMBO,2,0.068500,162.0
logreg_on_grid,mlrMBO,3,0.068500,152.0
logreg_on_grid,mlrMBO,4,0.068500,157.0
logreg_on_grid,mlrMBO,5,0.068500,155.0
logreg_on_grid,mlrMBO,6,0.068500,160.0
logreg_on_grid,mlrMBO,7,0.068500,152.0
logreg_on_grid,mlrMBO,8,0.068500,137.0
logreg_on_grid,mlrMBO,9,0.068500,148.0
logreg_on_grid,mlrMBO,10,0.068500,155.0
logreg_on_grid,mlrMBO-rf,1,0.069800,272.0
logreg_on_grid,mlrMBO-rf,2,0.069758,273.0
logreg_on_grid,mlrMBO-rf,3,0.068500,297.0
logreg_on_grid,mlrMBO-rf,4,0.079500,285.0
logreg_on_grid,mlrMBO-rf,5,0.069758,286.0
logreg_on_grid,mlrMBO-rf,6,0.068500,251.0
logreg_on_grid,mlrMBO-rf,7,0.068500,262.0
logreg_on_grid,mlrMBO-rf,8,0.068500,256.0
logreg_on_grid,mlrMBO-rf,9,0.069200,270.0
logreg_on_grid,mlrMBO-rf,10,0.069200,279.0
logreg_on_grid,smac,1,0.069896,87.0
logreg_on_grid,smac,2,0.069758,88.0
logreg_on_grid,smac,3,0.069800,87.0
logreg_on_grid,smac,4,0.069200,89.0
logreg_on_grid,smac,5,0.069200,88.0
logreg_on_grid,smac,6,0.069200,86.0
logreg_on_grid,smac,7,0.069758,85.0
logreg_on_grid,smac,8,0.068500,89.0
logreg_on_grid,smac,9,0.069200,89.0
logreg_on_grid,smac,10,0.069896,89.0
logreg_on_grid,tpe,1,0.069200,58.0
logreg_on_grid,tpe,2,0.069300,59.0
logreg_on_grid,tpe,3,0.068500,61.0
logreg_on_grid,tpe,4,0.068500,61.0
logreg_on_grid,tpe,5,0.069200,59.0
logreg_on_grid,tpe,6,0.069758,60.0
logreg_on_grid,tpe,7,0.069200,58.0
logreg_on_grid,tpe,8,0.068500,60.0
logreg_on_grid,tpe,9,0.068500,60.0
logreg_on_grid,tpe,10,0.069200,60.0
logreg_on_grid,spearmint,1,0.068500,5181.0
logreg_on_grid,spearmint,2,0.068500,4980.0
logreg_on_grid,spearmint,3,0.069758,5024.0
logreg_on_grid,spearmint,4,0.068500,4915.0
logreg_on_grid,spearmint,5,0.068500,4890.0
logreg_on_grid,spearmint,6,0.068500,4999.0
logreg_on_grid,spearmint,7,0.068500,5329.0
logreg_on_grid,spearmint,8,0.068500,5202.0
logreg_on_grid,spearmint,9,0.068500,4906.0
logreg_on_grid,spearmint,10,0.069200,5191.0
michalewicz,mlrMBO,1,-5.714843,987.0
michalewicz,mlrMBO,2,-5.019187,1082.0
michalewicz,mlrMBO,3,-5.225975,1031.0
michalewicz,mlrMBO,4,-5.259222,1041.0
michalewicz,mlrMBO,5,-6.251787,1016.0
michalewicz,mlrMBO,6,-5.918860,964.0
michalewicz,mlrMBO,7,-5.414993,1062.0
michalewicz,mlrMBO,8,-5.648753,1018.0
michalewicz,mlrMBO,9,-5.835457,893.0
michalewicz,mlrMBO,10,-5.149994,957.0
michalewicz,mlrMBO-rf,1,-4.185398,859.0
michalewicz,mlrMBO-rf,2,-3.581133,823.0
michalewicz,mlrMBO-rf,3,-4.620024,840.0
michalewicz,mlrMBO-rf,4,-4.251941,843.0
michalewicz,mlrMBO-rf,5,-3.618658,833.0
michalewicz,mlrMBO-rf,6,-4.988854,837.0
michalewicz,mlrMBO-rf,7,-5.949203,868.0
michalewicz,mlrMBO-rf,8,-3.489976,753.0
michalewicz,mlrMBO-rf,9,-4.082699,762.0
michalewicz,mlrMBO-rf,10,-4.447893,838.0
michalewicz,smac,1,-5.110755,196.0
michalewicz,smac,2,-4.205307,195.0
michalewicz,smac,3,-4.183843,193.0
michalewicz,smac,4,-4.490127,194.0
michalewicz,smac,5,-4.087360,193.0
michalewicz,smac,6,-4.395648,194.0
michalewicz,smac,7,-3.401623,192.0
michalewicz,smac,8,-3.773961,193.0
michalewicz,smac,9,-3.943804,194.0
michalewicz,smac,10,-4.377577,193.0
michalewicz,tpe,1,-4.035059,145.0
michalewicz,tpe,2,-3.976246,147.0
michalewicz,tpe,3,-3.500651,144.0
michalewicz,tpe,4,-4.141765,144.0
michalewicz,tpe,5,-3.861702,143.0
michalewicz,tpe,6,-4.450115,139.0
michalewicz,tpe,7,-4.329429,140.0
michalewicz,tpe,8,-3.317596,144.0
michalewicz,tpe,9,-3.222289,147.0
michalewicz,tpe,10,-3.298052,144.0
michalewicz,spearmint,1,-3.998621,14221.0
michalewicz,spearmint,2,-4.141408,14628.0
michalewicz,spearmint,3,-3.522767,14642.0
michalewicz,spearmint,4,-3.086069,14125.0
michalewicz,spearmint,5,-2.935900,14035.0
michalewicz,spearmint,6,-3.195023,14000
michalewicz,spearmint,7,-4.049246,14443.0
michalewicz,spearmint,8,-3.247771,14367.0
michalewicz,spearmint,9,-4.290461,17438.0
michalewicz,spearmint,10,-3.395226,15779.0
svm_on_grid,mlrMBO,1,0.283040,162.0
svm_on_grid,mlrMBO,2,0.283040,162.0
svm_on_grid,mlrMBO,3,0.283040,158.0
svm_on_grid,mlrMBO,4,0.283040,176.0
svm_on_grid,mlrMBO,5,0.283040,161.0
svm_on_grid,mlrMBO,6,0.283040,178.0
svm_on_grid,mlrMBO,7,0.283040,170.0
svm_on_grid,mlrMBO,8,0.283040,176.0
svm_on_grid,mlrMBO,9,0.283040,175.0
svm_on_grid,mlrMBO,10,0.283040,172.0
svm_on_grid,mlrMBO-rf,1,0.283040,271.0
svm_on_grid,mlrMBO-rf,2,0.283920,269.0
svm_on_grid,mlrMBO-rf,3,0.283920,268.0
svm_on_grid,mlrMBO-rf,4,0.285240,275.0
svm_on_grid,mlrMBO-rf,5,0.285940,274.0
svm_on_grid,mlrMBO-rf,6,0.285940,271.0
svm_on_grid,mlrMBO-rf,7,0.285940,272.0
svm_on_grid,mlrMBO-rf,8,0.283040,280.0
svm_on_grid,mlrMBO-rf,9,0.285240,275.0
svm_on_grid,mlrMBO-rf,10,0.285240,267.0
svm_on_grid,smac,1,0.283040,79.0
svm_on_grid,smac,2,0.283040,79.0
svm_on_grid,smac,3,0.283040,79.0
svm_on_grid,smac,4,0.283040,77.0
svm_on_grid,smac,5,0.283040,79.0
svm_on_grid,smac,6,0.283040,76.0
svm_on_grid,smac,7,0.283040,78.0
svm_on_grid,smac,8,0.283040,76.0
svm_on_grid,smac,9,0.283040,77.0
svm_on_grid,smac,10,0.283040,78.0
svm_on_grid,tpe,1,0.283920,51.0
svm_on_grid,tpe,2,0.285240,49.0
svm_on_grid,tpe,3,0.285940,51.0
svm_on_grid,tpe,4,0.285240,49.0
svm_on_grid,tpe,5,0.285940,48.0
svm_on_grid,tpe,6,0.285240,49.0
svm_on_grid,tpe,7,0.283040,49.0
svm_on_grid,tpe,8,0.283920,48.0
svm_on_grid,tpe,9,0.285760,53.0
svm_on_grid,tpe,10,0.283920,50.0
svm_on_grid,spearmint,1,0.384360,5185.0
svm_on_grid,spearmint,2,0.384360,5133.0
svm_on_grid,spearmint,3,0.286460,5148.0
svm_on_grid,spearmint,4,0.283040,5222.0
svm_on_grid,spearmint,5,0.285240,5354.0
svm_on_grid,spearmint,6,0.381300,5140.0
svm_on_grid,spearmint,7,0.283040,5245.0
svm_on_grid,spearmint,8,0.283040,5115.0
svm_on_grid,spearmint,9,0.283040,5240.0
svm_on_grid,spearmint,10,0.283040,5160.0
camelback,mlrMBO,1,-1.031626,183.0
camelback,mlrMBO,2,-1.031626,183.0
camelback,mlrMBO,3,-1.031628,185.0
camelback,mlrMBO,4,-1.031618,185.0
camelback,mlrMBO,5,-1.031628,218.0
camelback,mlrMBO,6,-1.031627,207.0
camelback,mlrMBO,7,-1.031627,206.0
camelback,mlrMBO,8,-1.031625,206.0
camelback,mlrMBO,9,-1.031627,208.0
camelback,mlrMBO,10,-1.031626,210.0
camelback,mlrMBO-rf,1,-1.030686,395.0
camelback,mlrMBO-rf,2,-0.992069,398.0
camelback,mlrMBO-rf,3,-1.029516,400.0
camelback,mlrMBO-rf,4,-1.030211,400
camelback,mlrMBO-rf,5,-1.031504,442.0
camelback,mlrMBO-rf,6,-1.031178,416.0
camelback,mlrMBO-rf,7,-1.029127,443.0
camelback,mlrMBO-rf,8,-1.029319,428.0
camelback,mlrMBO-rf,9,-1.024190,430.0
camelback,mlrMBO-rf,10,-1.030261,439.0
camelback,smac,1,-1.025118,181.0
camelback,smac,2,-0.998988,181.0
camelback,smac,3,-0.995485,180.0
camelback,smac,4,-0.963575,181.0
camelback,smac,5,-1.024514,180.0
camelback,smac,6,-1.029499,179.0
camelback,smac,7,-0.946441,181.0
camelback,smac,8,-1.012238,180.0
camelback,smac,9,-0.997636,179.0
camelback,smac,10,-0.988297,182.0
camelback,tpe,1,-0.975836,151.0
camelback,tpe,2,-1.030030,152.0
camelback,tpe,3,-0.964582,151.0
camelback,tpe,4,-1.026321,152.0
camelback,tpe,5,-0.972364,152.0
camelback,tpe,6,-0.999913,152.0
camelback,tpe,7,-0.969677,152.0
camelback,tpe,8,-0.998755,148.0
camelback,tpe,9,-1.009112,150.0
camelback,tpe,10,-1.031289,151.0
camelback,spearmint,1,-1.031620,5052.0
camelback,spearmint,2,-1.031556,5071.0
camelback,spearmint,3,-1.031578,5053.0
camelback,spearmint,4,-1.031628,5102.0
camelback,spearmint,5,-1.031585,5031.0
camelback,spearmint,6,-1.031628,5078.0
camelback,spearmint,7,-1.031623,5129.0
camelback,spearmint,8,-1.031625,5064.0
camelback,spearmint,9,-1.031615,5010.0
camelback,spearmint,10,-1.031625,5049.0
lda_on_grid,mlrMBO,1,1302.023694,63.0
lda_on_grid,mlrMBO,2,1302.023694,69.0
lda_on_grid,mlrMBO,3,1302.023694,62.0
lda_on_grid,mlrMBO,4,1302.023694,63.0
lda_on_grid,mlrMBO,5,1302.023694,60.0
lda_on_grid,mlrMBO,6,1302.023694,57.0
lda_on_grid,mlrMBO,7,1302.023694,62.0
lda_on_grid,mlrMBO,8,1302.023694,63.0
lda_on_grid,mlrMBO,9,1302.023694,58.0
lda_on_grid,mlrMBO,10,1302.023694,72.0
lda_on_grid,mlrMBO-rf,1,1302.023694,81.0
lda_on_grid,mlrMBO-rf,2,1302.023694,77.0
lda_on_grid,mlrMBO-rf,3,1302.023694,72.0
lda_on_grid,mlrMBO-rf,4,1302.023694,84.0
lda_on_grid,mlrMBO-rf,5,1302.023694,68.0
lda_on_grid,mlrMBO-rf,6,1302.023694,70.0
lda_on_grid,mlrMBO-rf,7,1302.023694,82.0
lda_on_grid,mlrMBO-rf,8,1302.023694,75.0
lda_on_grid,mlrMBO-rf,9,1302.023694,75.0
lda_on_grid,mlrMBO-rf,10,1317.814555,77.0
lda_on_grid,smac,1,1302.023694,44.0
lda_on_grid,smac,2,1302.023694,44.0
lda_on_grid,smac,3,1302.023694,42.0
lda_on_grid,smac,4,1302.023694,42.0
lda_on_grid,smac,5,1302.023694,41.0
lda_on_grid,smac,6,1302.023694,40.0
lda_on_grid,smac,7,1302.023694,42.0
lda_on_grid,smac,8,1302.023694,41.0
lda_on_grid,smac,9,1302.023694,42.0
lda_on_grid,smac,10,1302.023694,41.0
lda_on_grid,tpe,1,1302.023694,27.0
lda_on_grid,tpe,2,1302.023694,27.0
lda_on_grid,tpe,3,1302.023694,25.0
lda_on_grid,tpe,4,1302.023694,21.0
lda_on_grid,tpe,5,1347.624790,28.0
lda_on_grid,tpe,6,1302.023694,26.0
lda_on_grid,tpe,7,1302.023694,25.0
lda_on_grid,tpe,8,1302.023694,24.0
lda_on_grid,tpe,9,1302.023694,26.0
lda_on_grid,tpe,10,1302.023694,26.0
lda_on_grid,spearmint,1,1454.543818,2694.0
lda_on_grid,spearmint,2,1302.023694,2578.0
lda_on_grid,spearmint,3,1302.023694,2648.0
lda_on_grid,spearmint,4,1302.023694,2514.0
lda_on_grid,spearmint,5,1302.023694,2469.0
lda_on_grid,spearmint,6,1420.742784,2587.0
lda_on_grid,spearmint,7,1302.023694,2585.0
lda_on_grid,spearmint,8,1417.792032,2621.0
lda_on_grid,spearmint,9,1302.023694,2580.0
lda_on_grid,spearmint,10,1302.023694,2539.0
matlab_branin,mlrMBO,1,1000.000000,366.0
matlab_branin,mlrMBO,2,1000.000000,390.0
matlab_branin,mlrMBO,3,1000.000000,381.0
matlab_branin,mlrMBO,4,1000.000000,371.0
matlab_branin,mlrMBO,5,1000.000000,380.0
matlab_branin,mlrMBO,6,1000.000000,360.0
matlab_branin,mlrMBO,7,1000.000000,402.0
matlab_branin,mlrMBO,8,1000.000000,381.0
matlab_branin,mlrMBO,9,1000.000000,364.0
matlab_branin,mlrMBO,10,1000.000000,381.0
matlab_branin,mlrMBO-rf,1,1000.000000,677.0
matlab_branin,mlrMBO-rf,2,1000.000000,695.0
matlab_branin,mlrMBO-rf,3,1000.000000,692.0
matlab_branin,mlrMBO-rf,4,1000.000000,669.0
matlab_branin,mlrMBO-rf,5,1000.000000,628.0
matlab_branin,mlrMBO-rf,6,1000.000000,694.0
matlab_branin,mlrMBO-rf,7,1000.000000,672.0
matlab_branin,mlrMBO-rf,8,1000.000000,693.0
matlab_branin,mlrMBO-rf,9,1000.000000,662.0
matlab_branin,mlrMBO-rf,10,1000.000000,684.0
matlab_branin,smac,1,1000.000000,167.0
matlab_branin,smac,2,1000.000000,174.0
matlab_branin,smac,3,1000.000000,172.0
matlab_branin,smac,4,1000.000000,174.0
matlab_branin,smac,5,1000.000000,171.0
matlab_branin,smac,6,1000.000000,170.0
matlab_branin,smac,7,1000.000000,175.0
matlab_branin,smac,8,1000.000000,171.0
matlab_branin,smac,9,1000.000000,170.0
matlab_branin,smac,10,1000.000000,169.0
matlab_branin,tpe,1,1000.000000,117.0
matlab_branin,tpe,2,1000.000000,118.0
matlab_branin,tpe,3,1000.000000,117.0
matlab_branin,tpe,4,1000.000000,120.0
matlab_branin,tpe,5,1000.000000,120.0
matlab_branin,tpe,6,1000.000000,117.0
matlab_branin,tpe,7,1000.000000,122.0
matlab_branin,tpe,8,1000.000000,121.0
matlab_branin,tpe,9,1000.000000,122.0
matlab_branin,tpe,10,1000.000000,118.0
matlab_branin,spearmint,1,1000.000000,10500
matlab_branin,spearmint,2,1000.000000,10183.0
matlab_branin,spearmint,3,1000.000000,10397.0
matlab_branin,spearmint,4,1000.000000,10427.0
matlab_branin,spearmint,5,1000.000000,10406.0
matlab_branin,spearmint,6,1000.000000,10429.0
matlab_branin,spearmint,7,1000.000000,10341.0
matlab_branin,spearmint,8,1000.000000,10272.0
matlab_branin,spearmint,9,1000.000000,10500
matlab_branin,spearmint,10,1000.000000,10350.0
rkhs,mlrMBO,1,3.000000,323.0
rkhs,mlrMBO,2,3.000000,313.0
rkhs,mlrMBO,3,3.000000,317.0
rkhs,mlrMBO,4,3.000000,306.0
rkhs,mlrMBO,5,3.000000,296.0
rkhs,mlrMBO,6,3.000000,304.0
rkhs,mlrMBO,7,3.000000,326.0
rkhs,mlrMBO,8,3.000000,329.0
rkhs,mlrMBO,9,3.000000,332.0
rkhs,mlrMBO,10,3.000000,335.0
rkhs,mlrMBO-rf,1,3.000000,673.0
rkhs,mlrMBO-rf,2,3.000000,678.0
rkhs,mlrMBO-rf,3,3.000000,664.0
rkhs,mlrMBO-rf,4,3.000000,674.0
rkhs,mlrMBO-rf,5,3.000000,680.0
rkhs,mlrMBO-rf,6,3.000000,688.0
rkhs,mlrMBO-rf,7,3.000000,684.0
rkhs,mlrMBO-rf,8,3.000000,703.0
rkhs,mlrMBO-rf,9,3.000000,720.0
rkhs,mlrMBO-rf,10,3.000000,675.0
rkhs,smac,1,3.000000,172.0
rkhs,smac,2,3.000000,168.0
rkhs,smac,3,3.000000,171.0
rkhs,smac,4,3.000000,174.0
rkhs,smac,5,3.000000,171.0
rkhs,smac,6,3.000000,172.0
rkhs,smac,7,3.000000,172.0
rkhs,smac,8,3.000000,171.0
rkhs,smac,9,3.000000,170.0
rkhs,smac,10,3.000000,174.0
rkhs,tpe,1,3.000000,124.0
rkhs,tpe,2,3.000000,121.0
rkhs,tpe,3,3.000000,118.0
rkhs,tpe,4,3.000000,113.0
rkhs,tpe,5,3.000000,114.0
rkhs,tpe,6,3.000000,120.0
rkhs,tpe,7,3.000000,117.0
rkhs,tpe,8,3.000000,117.0
rkhs,tpe,9,3.000000,116.0
rkhs,tpe,10,3.000000,116.0
rkhs,spearmint,1,3.000000,10108.0
rkhs,spearmint,2,3.000000,10000
rkhs,spearmint,3,3.000000,10133.0
rkhs,spearmint,4,3.000000,10115.0
rkhs,spearmint,5,3.000000,9928.0
rkhs,spearmint,6,3.000000,9926.0
rkhs,spearmint,7,3.000000,9923.0
rkhs,spearmint,8,3.000000,10078.0
rkhs,spearmint,9,3.000000,10067.0
rkhs,spearmint,10,3.000000,10000
hpdbnet/convex,mlrMBO-rf,1,0.176938,1751.38454
hpdbnet/convex,mlrMBO-rf,2,0.183892,1764.92870
hpdbnet/convex,mlrMBO-rf,3,0.185826,1789.91559
hpdbnet/convex,mlrMBO-rf,4,0.181586,1755.32362
hpdbnet/convex,mlrMBO-rf,5,0.174744,1776.95677
hpdbnet/convex,mlrMBO-rf,6,0.184401,1777.53896
hpdbnet/convex,mlrMBO-rf,7,0.177051,1808.97093
hpdbnet/convex,mlrMBO-rf,8,0.176432,1822.63847
hpdbnet/convex,mlrMBO-rf,9,0.174959,1816.24086
hpdbnet/convex,mlrMBO-rf,10,0.179998,1808.53336
hpdbnet/convex,smac,1,0.175877,113.04661
hpdbnet/convex,smac,2,0.176761,113.60583
hpdbnet/convex,smac,3,0.185794,115.63558
hpdbnet/convex,smac,4,0.180299,110.69001
hpdbnet/convex,smac,5,0.183651,113.00777
hpdbnet/convex,smac,6,0.178911,110.31940
hpdbnet/convex,smac,7,0.175671,108.17927
hpdbnet/convex,smac,8,0.179886,105.56679
hpdbnet/convex,smac,9,0.177761,109.21079
hpdbnet/convex,smac,10,0.175017,107.12600
hpdbnet/convex,tpe,1,0.175785,82.95415
hpdbnet/convex,tpe,2,0.178590,79.42096
hpdbnet/convex,tpe,3,0.177095,78.98733
hpdbnet/convex,tpe,4,0.196251,78.82766
hpdbnet/convex,tpe,5,0.179969,83.31672
hpdbnet/convex,tpe,6,0.176251,78.16030
hpdbnet/convex,tpe,7,0.178441,78.69194
hpdbnet/convex,tpe,8,0.177559,79.48356
hpdbnet/convex,tpe,9,0.177368,82.46841
hpdbnet/convex,tpe,10,0.178447,84.70929
hpdbnet/convex,spearmint,1,0.177296,37978.36958
hpdbnet/convex,spearmint,2,0.170775,30061.53375
